3.00000	-1.75329	0.809094	0.924425	-0.0803643	1.37786	1.09172	1.59946	0.720442	0.940165
3.00000	-1.90313	0.961001	1.04088	-0.101656	1.37339	1.19601	1.62686	0.741326	0.934651
3.00000	-1.69773	0.910194	1.13884	0.360380	1.32833	1.21447	2.20874	1.08433	0.911103
3.00000	-1.64965	0.829347	1.01421	0.0416568	1.60373	1.13266	1.80750	0.954810	1.10637
3.00000	-1.86340	0.925644	0.914423	-0.107582	1.55725	1.08075	1.65474	0.832278	0.995433
3.00000	-1.70441	0.816624	0.998505	0.0581265	1.45041	1.11134	1.79994	0.862840	0.940561
3.00000	-1.67395	0.781561	0.941342	-0.100793	1.61783	1.03635	1.58205	0.799452	1.03410
3.00000	-1.53505	0.793735	1.19820	0.118728	1.67279	1.06910	1.69575	0.799933	0.960230
3.00000	-1.57878	0.767368	1.04322	0.250079	1.49108	1.18729	2.05848	1.06004	1.03410
3.00000	-1.72426	0.795694	0.864614	-0.120227	1.56926	1.04144	1.59998	0.822627	1.06464
3.00000	-1.69747	0.864232	1.04612	-0.0462076	1.68566	1.06910	1.61777	0.832975	1.08580
3.00000	-1.96707	0.988074	0.979840	-0.0802045	1.51179	1.20046	1.80671	0.938446	1.07987
3.00000	-1.80675	0.955375	1.07222	0.0144516	1.61904	1.16240	1.84516	0.957874	1.06042
3.00000	-1.79449	0.917955	0.995572	-0.0599512	1.71690	1.13999	1.68777	0.882896	1.13545
3.00000	-1.60627	0.829821	1.08963	0.0914561	1.59886	1.20937	1.83864	0.962709	1.09397
3.00000	-1.71251	0.807170	0.982219	0.0553829	1.30068	1.13999	1.92400	0.975862	1.09092
3.00000	-2.11648	1.06212	0.951453	-0.325893	1.36010	1.09832	1.57331	0.869992	1.19705
3.00000	-1.69000	0.790964	0.895750	-0.0274497	1.47910	1.03978	1.64695	0.795220	0.965881
3.00000	-1.64619	0.810095	1.01130	0.134950	1.48796	1.11134	1.90959	0.946114	0.944355
3.00000	-1.63287	0.817964	1.05991	-0.0205775	1.71072	1.09025	1.58217	0.825874	1.13114
